Count
27
26
23
21
15
13
17
14
16
15
24
15
11
15
13
9
6
5
7
7
7
5
5
7
7
12
15
15
13
12
10
9
9
8
10
5
9
10
9
9
8
10
6
14
12
9
6
7
7
7
8
9
6
9
12
9
5
11
8
7
5
7
5
7
8
8
5
5
2
2
1
8
6
5
7
2
5
6
4
5
